quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
,sweing,Saturday,8,,23.54,1144.0,,0,0.0,0,0,54.0,0.286984568
,sweing,Saturday,1,0.8,22.52,1534.0,6780.0,88,0.0,0,0,57.0,0.900135693
Quarter1,finishing,,7,0.8,4.6,,,0,0.0,0,0,8.0,0.342361111
Quarter1,finishing,Wednesday,5,0.7,4.6,,960.0,0,0.0,0,0,8.0,0.592083333
Quarter5,sweing,Saturday,6,,18.79,,,23,0.0,0,0,33.0,0.600710606
Quarter4,sweing,Thursday,4,0.75,22.52,759.0,,81,0.0,0,0,56.0,0.849983766
Quarter3,finishing,Wednesday,8,0.7,5.13,,,0,0.0,0,0,8.0,0.58
Quarter4,sweing,Tuesday,12,0.8,15.26,1062.0,4080.0,50,0.0,0,0,34.0,0.800401961
,finishing ,Saturday,5,,4.15,,1440.0,0,0.0,0,0,8.0,0.337973485
Quarter1,sweing,Monday,6,,18.79,,,30,0.0,0,0,33.0,0.700354545
Quarter4,sweing,Saturday,9,0.75,18.79,,6240.0,45,0.0,0,1,52.0,0.750395513
Quarter2,sweing,Saturday,11,0.6,11.41,,2280.0,23,0.0,0,2,55.0,0.600447507
,sweing,Tuesday,5,0.7,20.79,1297.0,,0,0.0,0,0,58.0,0.526810345
Quarter4,sweing,Saturday,5,0.5,27.48,609.0,6840.0,30,0.0,0,1,57.0,0.550403509
Quarter1,sweing,,8,0.75,29.4,622.0,6240.0,56,0.0,0,0,57.0,0.75075
Quarter4,finishing ,Sunday,5,0.7,4.15,,3060.0,0,0.0,0,0,17.0,0.973796791
Quarter1,sweing,Tuesday,12,0.8,15.26,1029.0,2040.0,50,0.0,0,0,35.0,0.800259023
Quarter4,sweing,Wednesday,6,0.35,18.79,,,23,0.0,0,0,32.0,0.437995338
Quarter1,finishing ,Tuesday,4,0.8,4.3,,1440.0,0,0.0,0,0,12.0,0.5375
,finishing,Wednesday,5,0.7,3.94,,1440.0,0,0.0,0,0,12.0,0.75885
Quarter1,sweing,Wednesday,9,0.8,26.16,1324.0,10620.0,75,0.0,0,0,59.0,0.850502311
Quarter1,sweing,Sunday,12,0.8,11.61,1216.0,6975.0,50,0.0,0,0,31.0,0.800030199
Quarter3,sweing,,2,,30.33,,,0,0.0,0,1,57.0,0.328131579
Quarter3,sweing,Thursday,3,0.7,30.1,247.0,6960.0,50,0.0,0,1,58.0,0.700603448
Quarter4,finishing,Wednesday,7,,4.6,,960.0,0,0.0,0,0,8.0,0.676666667
Quarter1,finishing ,Tuesday,11,0.8,4.15,,2700.0,0,0.0,0,0,15.0,0.888686869
Quarter2,sweing,,10,0.8,22.52,1388.0,6720.0,88,0.0,0,0,56.0,0.9008
,finishing,Wednesday,10,0.8,3.94,,960.0,0,0.0,0,0,8.0,0.64025
,finishing ,Monday,9,0.75,3.94,,,0,0.0,0,0,8.0,0.994270833
Quarter4,sweing,Monday,11,0.35,28.08,749.0,,23,0.0,0,0,57.0,0.350066986
Quarter1,finishing,,5,0.7,4.6,,3360.0,0,0.0,0,0,8.0,0.354444444
,sweing,,9,0.8,29.12,1073.0,6960.0,50,0.0,0,0,58.0,0.799963218
Quarter3,sweing,Wednesday,11,0.7,11.41,,,30,0.0,0,2,56.0,0.8211125
Quarter2,sweing,Monday,7,0.8,25.9,1031.0,10170.0,60,0.0,0,0,56.5,0.850136766
,finishing ,,5,0.7,4.15,,2700.0,0,0.0,0,0,15.0,0.959191919
Quarter3,finishing ,Wednesday,8,0.8,2.9,,2400.0,0,0.0,0,0,8.0,0.594871795
Quarter2,sweing,Wednesday,6,0.8,11.61,972.0,,38,0.0,0,0,31.5,0.800246753
,finishing ,,3,0.75,4.15,,2760.0,0,0.0,0,0,12.0,0.930340376
Quarter1,sweing,,5,,21.98,,6960.0,23,0.0,0,0,58.0,0.600028736
Quarter3,sweing,Tuesday,7,0.35,22.94,1450.0,10080.0,30,0.0,0,0,56.0,0.400332792
,finishing,Tuesday,4,0.7,3.94,,,0,0.0,0,0,8.0,0.555430556
Quarter1,finishing ,,5,0.6,2.9,,,0,0.0,0,0,8.0,0.759270833
Quarter3,finishing ,Monday,9,0.8,3.94,,1800.0,0,0.0,0,0,10.0,0.964106061
Quarter1,finishing ,Monday,4,,3.94,,3840.0,0,0.0,0,0,16.0,0.893663194
Quarter1,sweing,,9,,18.79,,6240.0,34,0.0,0,0,52.0,0.750395513
Quarter1,sweing,,2,0.8,22.52,1452.0,6960.0,100,0.0,0,0,58.0,0.949981609
Quarter2,finishing ,Tuesday,8,0.8,2.9,,1440.0,0,0.0,0,0,8.0,0.681060606
Quarter2,finishing,,12,0.8,4.08,,,0,0.0,0,0,9.0,0.800888889
Quarter4,sweing,,7,,30.1,739.0,,45,0.0,0,1,59.0,0.750727326
,sweing,Monday,6,,18.79,1100.0,3960.0,45,0.0,0,0,33.0,0.75065101
,finishing,Wednesday,6,0.7,2.9,,,0,0.0,0,0,6.0,0.394722222
,sweing,Monday,11,,20.55,,6480.0,60,0.0,0,0,54.0,0.700398148
Quarter2,sweing,Saturday,2,0.8,22.52,,,63,0.0,0,0,57.0,0.80037492
,sweing,Thursday,1,,22.94,1579.0,6960.0,81,0.0,0,0,58.0,0.850362069
,finishing ,,4,,3.94,,,0,0.0,0,0,20.0,0.911589744
,finishing,Tuesday,2,0.7,3.9,,960.0,0,0.0,0,0,8.0,0.741
Quarter2,finishing ,Wednesday,1,,3.94,,,0,0.0,0,0,8.0,0.891723485
Quarter4,sweing,Saturday,7,0.8,30.1,,,38,0.0,0,1,59.0,0.799982853
Quarter3,finishing ,Wednesday,4,0.75,4.3,,,0,0.0,0,0,20.0,0.978525641
,finishing,Sunday,3,0.8,4.6,,1440.0,0,0.0,0,0,12.0,0.951944444
Quarter1,finishing ,Wednesday,1,0.8,3.94,,,0,0.0,0,0,8.0,0.951420455
Quarter3,sweing,Tuesday,7,0.7,30.1,562.0,840.0,30,0.0,0,1,59.0,0.700888203
,finishing,Thursday,8,0.8,4.6,,,0,0.0,0,0,22.0,0.980984848
Quarter1,sweing,Monday,11,0.8,11.61,,0.0,50,0.0,0,0,57.0,0.800309211
,finishing,,6,0.75,2.9,,960.0,0,0.0,0,0,8.0,0.888125
Quarter2,finishing,,11,0.8,2.9,,,960,0.0,0,0,8.0,0.960625
Quarter3,sweing,Thursday,3,,22.52,,10170.0,30,0.0,0,0,56.5,0.660683293
Quarter2,sweing,,12,0.8,15.26,,,63,0.0,0,0,34.0,0.800401961
,finishing,,4,,3.94,,,0,0.0,0,0,8.0,0.664875
Quarter1,finishing,Saturday,1,,3.94,,,0,0.0,0,0,10.0,0.870083333
Quarter4,sweing,,5,,30.1,541.0,,38,0.0,0,0,59.0,0.800137255
Quarter2,finishing ,Sunday,2,,3.94,,1440.0,0,0.0,0,0,8.0,0.820833333
Quarter2,finishing ,Monday,5,,4.15,,1440.0,0,0.0,0,0,8.0,0.809564394
,sweing,Wednesday,12,0.8,15.26,,4080.0,63,0.0,0,0,34.0,0.800401961
,finishing ,Saturday,4,0.75,4.3,,,0,0.0,0,0,12.0,0.651515152
Quarter4,sweing,Thursday,8,0.8,40.99,980.0,,30,0.0,0,0,56.5,0.555500132
,sweing,Thursday,4,,26.82,1117.0,7080.0,50,0.0,0,0,59.0,0.750050847
Quarter2,sweing,Thursday,10,,22.52,10.0,6000.0,0,0.0,0,0,50.0,0.441392
Quarter4,finishing,Saturday,6,0.75,2.9,,3360.0,0,0.0,0,0,8.0,0.271875
Quarter2,finishing ,Monday,6,,2.9,,1440.0,0,0.0,0,0,8.0,0.817424242
Quarter2,finishing ,Wednesday,10,0.8,3.94,,1260.0,0,0.0,0,0,8.0,0.332359307
Quarter3,finishing ,,5,0.65,4.15,,1440.0,0,0.0,0,0,8.0,0.958901515
Quarter4,sweing,Thursday,5,0.7,20.4,1480.0,,40,0.0,0,0,58.0,0.700250784
Quarter1,sweing,,9,0.8,22.52,,,50,0.0,0,0,58.0,0.799963218
,sweing,Saturday,12,0.8,15.26,,4080.0,75,0.0,0,0,34.0,0.850520588
,sweing,,11,,11.61,635.0,,45,0.0,0,0,57.0,0.750503571
Quarter3,finishing ,,9,,3.94,,1800.0,0,0.0,0,0,10.0,0.582045455
Quarter2,finishing,Sunday,8,0.7,4.15,,,0,0.0,0,0,15.0,0.840888889
Quarter2,sweing,Sunday,1,,22.52,1615.0,,88,0.0,0,0,56.5,0.900135693
Quarter3,finishing,Tuesday,7,0.7,5.13,,1200.0,0,0.0,0,0,10.0,0.91375
Quarter2,sweing,Thursday,3,,30.1,770.0,6960.0,0,0.0,0,1,58.0,0.350301724
Quarter3,finishing ,Tuesday,8,0.8,2.9,,1440.0,0,0.0,0,0,8.0,0.639867424
,sweing,,9,,29.12,1082.0,6840.0,81,0.0,0,0,57.0,0.850610526
Quarter3,sweing,Tuesday,12,0.5,15.26,1352.0,,23,0.0,0,0,34.0,0.500290419
Quarter1,sweing,,4,,26.66,832.0,6780.0,55,0.0,0,0,57.0,0.750254867
Quarter1,sweing,Sunday,3,0.75,19.87,,6600.0,45,0.0,0,0,55.0,0.75024303
Quarter3,sweing,,6,0.8,11.61,916.0,5760.0,75,0.0,0,0,89.0,0.850410511
Quarter2,finishing ,Thursday,8,0.8,2.9,,1440.0,0,0.0,0,0,8.0,0.735984848
,finishing ,,2,0.8,3.94,,,0,0.0,0,0,8.0,0.880530303
Quarter1,finishing,,12,,4.6,,,0,0.0,0,0,9.0,0.868888889
Quarter2,sweing,Saturday,6,0.8,11.41,887.0,5490.0,50,0.0,0,0,30.5,0.800343766
Quarter2,sweing,Monday,8,0.8,25.9,1233.0,10170.0,60,0.0,0,0,56.5,0.850136766
Quarter3,finishing ,Saturday,11,0.8,4.15,,1260.0,0,0.0,0,0,7.0,0.313852814
Quarter2,finishing,Monday,3,0.8,4.6,,0.0,1440,0.0,0,0,12.0,0.795416667
Quarter2,finishing,Saturday,6,,2.9,,960.0,0,0.0,0,0,8.0,0.483333333
Quarter1,sweing,,1,0.7,26.82,1772.0,6960.0,50,0.0,0,0,58.0,0.750651724
,sweing,,5,,21.98,413.0,,40,0.0,0,0,58.0,0.700480831
,sweing,Wednesday,7,0.5,22.52,,10080.0,23,0.0,0,0,56.0,0.500241342
Quarter1,sweing,,7,0.7,24.26,,6960.0,0,0.0,0,0,58.0,0.700612069
Quarter1,finishing,Monday,1,,3.94,,3360.0,0,0.0,0,0,8.0,0.537919444
Quarter2,finishing ,Monday,1,0.8,3.94,,1440.0,0,0.0,0,0,8.0,0.955151515
Quarter2,finishing,Saturday,9,,3.94,,960.0,0,0.0,0,0,8.0,0.238041667
Quarter2,sweing,Thursday,10,,28.08,,10530.0,69,0.0,0,0,58.5,0.8
,finishing,,8,0.35,4.15,,960.0,0,0.0,0,0,8.0,0.703770833
Quarter1,finishing,,10,0.7,2.9,,3360.0,0,0.0,0,0,8.0,0.664583333
,finishing,Saturday,8,0.8,4.6,,,0,0.0,0,0,15.0,0.590740741
Quarter1,sweing,Tuesday,5,0.6,30.1,415.0,6960.0,0,0.0,0,0,58.0,0.415172414
Quarter2,finishing ,Monday,3,,4.15,,1800.0,0,0.0,0,0,10.0,0.905454545
Quarter4,sweing,Wednesday,8,0.7,38.09,336.0,6240.0,0,0.0,0,0,52.0,0.467693269
,finishing ,Tuesday,6,,2.9,,,0,0.0,0,0,8.0,0.6225
Quarter2,sweing,Saturday,5,0.5,20.79,966.0,7680.0,0,0.0,0,0,56.0,0.388007813
,sweing,Wednesday,2,,30.33,361.0,,30,0.0,0,1,58.0,0.700069811
Quarter1,sweing,,11,0.75,19.31,,9900.0,45,0.0,0,0,55.0,0.750057851
,finishing,Thursday,3,0.8,4.6,,6300.0,0,0.0,0,0,15.0,0.921703704
Quarter3,sweing,,11,0.7,11.41,680.0,2160.0,30,0.0,0,2,54.0,0.565972222
,sweing,Monday,1,0.8,26.16,1099.0,8220.0,75,0.0,0,0,59.0,0.850522167
Quarter3,finishing,,3,,5.13,,2880.0,0,0.0,0,0,12.0,0.81640625
Quarter1,finishing ,Saturday,9,0.8,4.15,,960.0,0,0.0,0,0,8.0,0.956270833
Quarter2,finishing,Sunday,10,,2.9,,,0,0.0,0,0,8.0,0.441041667
Quarter2,finishing ,,10,0.75,3.94,,,0,0.0,0,0,8.0,0.779791667
,sweing,Thursday,6,0.75,18.79,899.0,,56,0.0,0,0,33.0,0.75065101
,finishing ,Saturday,9,0.8,3.94,,1440.0,0,0.0,0,0,8.0,0.858143939
Quarter4,sweing,,5,0.75,20.4,1118.0,10320.0,56,0.0,0,0,58.0,0.750031447
,finishing ,Monday,12,,4.08,,,0,0.0,0,0,9.0,0.740444444
Quarter2,sweing,,12,0.8,11.61,1159.0,,50,0.0,0,0,31.5,0.800313433
,finishing,Saturday,10,0.7,2.9,,,0,0.0,0,0,8.0,0.410833333
,sweing,Saturday,12,0.75,15.26,,,40,0.0,0,0,34.0,0.750079323
Quarter4,sweing,Thursday,2,,30.33,,6960.0,0,0.0,0,1,58.0,0.66237931
,sweing,,11,0.75,19.31,,6480.0,45,0.0,0,0,54.0,0.750348457
Quarter4,sweing,,8,,15.09,,,23,0.0,0,0,52.0,0.600143365
Quarter4,finishing,Tuesday,11,0.7,2.9,,960.0,0,0.0,0,0,8.0,0.5046875
Quarter5,sweing,Thursday,5,,20.79,1015.0,7080.0,81,0.0,0,0,59.0,0.800473729
Quarter2,finishing,Monday,1,,3.94,,1200.0,0,0.0,0,0,10.0,0.962016667
,sweing,Tuesday,8,0.8,25.9,1434.0,10170.0,50,0.0,0,0,56.5,0.800128721
,sweing,Sunday,2,0.8,22.52,12.0,,0,0.0,0,0,57.5,0.432122899
Quarter2,sweing,Monday,11,,11.41,357.0,,50,0.0,0,0,58.0,0.800034503
Quarter5,sweing,Saturday,5,,50.89,282.0,5880.0,56,0.0,0,0,59.0,0.656763743
Quarter4,finishing,Monday,3,0.8,5.13,,2160.0,0,0.0,0,0,18.0,0.87115
Quarter2,finishing,Monday,2,,3.9,,0.0,1200,0.0,0,0,10.0,0.6825
,finishing ,Wednesday,8,0.8,2.9,,1440.0,0,0.0,0,0,8.0,0.681060606
Quarter3,sweing,,11,0.6,14.89,1027.0,10080.0,38,0.0,0,0,56.0,0.600273268
Quarter4,finishing,Thursday,9,,2.9,,960.0,0,0.0,0,0,8.0,0.4078125
Quarter1,sweing,Tuesday,8,,24.26,1363.0,6660.0,0,0.0,0,0,55.5,0.586465465
Quarter1,sweing,Thursday,6,0.35,22.53,1450.0,2640.0,0,0.0,0,1,39.0,0.26369382
,sweing,,12,,15.26,1079.0,3720.0,38,0.0,0,0,34.0,0.800312375
Quarter1,finishing,,10,,2.9,,,0,0.0,0,0,8.0,0.632361111
Quarter1,finishing,Thursday,10,0.8,3.94,,960.0,0,0.0,0,0,8.0,0.771583333
,sweing,Thursday,10,0.7,21.82,,3240.0,0,0.0,0,1,52.0,0.700251773
Quarter2,finishing,,10,,2.9,,960.0,0,0.0,0,0,8.0,0.628333333
Quarter4,finishing ,,7,0.65,3.94,,2520.0,0,0.0,0,0,14.0,0.749188312
Quarter3,finishing,,2,0.8,5.13,,,0,0.0,0,0,12.0,0.919125
Quarter2,sweing,Monday,12,0.8,15.26,,4080.0,63,0.0,0,0,34.0,0.800401961
Quarter3,sweing,Saturday,5,0.7,41.19,1052.0,,21,0.0,0,0,58.0,0.452012539
Quarter1,finishing,Saturday,1,0.7,3.94,,960.0,0,0.0,0,0,8.0,0.664875
,sweing,,10,,21.82,1335.0,6000.0,30,0.0,0,0,50.0,0.700422
Quarter1,finishing ,Wednesday,10,0.75,3.94,,1440.0,0,0.0,0,0,8.0,0.805909091
Quarter1,finishing ,,1,0.75,3.94,,,0,0.0,0,0,8.0,0.8865
,finishing,Tuesday,6,0.75,2.9,,1800.0,0,0.0,0,0,15.0,0.726933333
Quarter2,finishing,Wednesday,9,,2.9,,,0,0.0,0,0,15.0,0.505888889
,finishing ,Thursday,4,0.75,3.94,,,0,0.0,0,0,18.0,0.593055556
Quarter3,sweing,Tuesday,11,,11.41,,3420.0,30,0.0,0,2,56.0,0.700614035
Quarter2,sweing,Saturday,4,0.8,28.08,660.0,10440.0,63,0.0,0,0,58.0,0.801028213
Quarter3,finishing ,Thursday,5,0.65,4.15,,1440.0,0,0.0,0,0,8.0,0.860653409
Quarter1,sweing,,6,,18.79,766.0,2760.0,30,0.0,0,0,33.0,0.700079032
Quarter4,sweing,Wednesday,8,,29.4,,6960.0,30,0.0,0,1,58.0,0.700362069
Quarter2,sweing,Thursday,11,0.5,11.41,1039.0,2280.0,0,0.0,0,2,55.0,0.50012336
Quarter1,finishing ,,1,0.8,3.94,,960.0,0,0.0,0,0,8.0,0.915229167
Quarter1,finishing ,Monday,9,,2.9,,1920.0,0,0.0,0,0,8.0,0.820833333
Quarter2,sweing,,7,0.65,30.48,935.0,6840.0,26,0.0,0,1,57.0,0.650596491
Quarter2,sweing,,4,0.7,30.1,855.0,7020.0,40,0.0,0,1,58.0,0.700618234
Quarter3,sweing,Monday,10,0.6,18.22,1131.0,5280.0,0,0.0,0,1,44.0,0.35542803
Quarter3,finishing ,,11,0.7,4.15,,2700.0,0,0.0,0,0,9.0,0.470769231
Quarter2,sweing,Wednesday,12,0.8,15.26,854.0,4080.0,50,0.0,0,0,34.0,0.800401961
,finishing,Wednesday,8,0.7,3.9,,960.0,0,0.0,0,0,8.0,0.625625
Quarter1,sweing,Sunday,10,0.8,22.52,1282.0,6720.0,75,0.0,0,0,56.0,0.850532143
Quarter3,sweing,Wednesday,9,,18.79,1587.0,4560.0,30,0.0,0,1,51.0,0.70009573
Quarter4,sweing,Tuesday,2,,30.33,408.0,1680.0,30,0.0,0,1,59.0,0.700623
,sweing,Sunday,7,,24.26,,6960.0,0,0.0,0,0,58.0,0.355534483
Quarter2,finishing ,,11,,4.15,,1440.0,0,0.0,0,0,8.0,0.640577652
Quarter1,sweing,,11,,11.41,968.0,3660.0,50,0.0,0,0,30.5,0.800570492
Quarter1,finishing ,,3,0.75,4.15,,,0,0.0,0,0,10.0,0.899166667
,sweing,Sunday,1,,26.16,1383.0,,75,0.0,0,0,59.0,0.850502311
,sweing,Tuesday,10,0.7,22.52,1108.0,10080.0,63,0.0,0,0,56.0,0.750057359
,finishing ,,5,0.65,4.15,,1440.0,0,0.0,0,0,8.0,0.821354167
Quarter2,sweing,,8,0.7,30.48,923.0,,30,0.0,0,1,57.0,0.700505263
Quarter1,sweing,Thursday,4,,30.1,417.0,6360.0,23,0.0,0,1,53.0,0.500720126
Quarter1,sweing,Wednesday,12,,11.61,,5670.0,50,0.0,0,0,31.5,0.800246753
Quarter2,sweing,Sunday,9,0.8,29.12,909.0,,50,0.0,0,0,58.0,0.799963218
,sweing,Thursday,8,0.75,29.4,,6960.0,56,0.0,0,2,58.0,0.750206897
,sweing,,11,0.8,11.41,313.0,3420.0,50,0.0,0,0,58.0,0.800034503
Quarter1,finishing ,Monday,8,0.8,2.9,,960.0,0,0.0,0,0,8.0,0.664583333
Quarter1,sweing,Sunday,10,0.7,28.08,,6900.0,40,0.0,0,0,57.5,0.699965217
,sweing,Monday,11,0.75,10.05,103.0,0.0,45,0.0,0,0,54.0,0.750648148
Quarter4,finishing,Tuesday,3,,4.6,,,0,0.0,0,0,12.0,0.811388889
Quarter1,sweing,,2,,28.08,,,63,0.0,0,0,57.5,0.800594466
Quarter1,sweing,Monday,2,0.8,22.52,21385.0,7020.0,88,0.0,0,0,58.5,0.900158405
Quarter2,finishing ,Saturday,10,0.8,3.94,,1440.0,0,0.0,0,0,8.0,0.846950758
,finishing ,Monday,10,0.8,3.94,,1200.0,0,0.0,0,0,10.0,0.85695
Quarter4,finishing ,Tuesday,10,0.8,3.94,,,0,0.0,0,0,12.0,0.979527778
,sweing,,9,,18.79,1641.0,6000.0,40,0.0,0,1,50.0,0.60128
,finishing,,2,0.8,5.13,,,0,0.0,0,0,15.0,0.710125
Quarter4,finishing,,12,,4.6,,3780.0,0,0.0,0,0,9.0,0.590617284
Quarter1,sweing,,4,0.8,28.08,878.0,,50,0.0,0,0,55.5,0.800598058
,sweing,Monday,6,,18.79,,4080.0,0,0.0,0,0,34.0,0.612517157
,finishing ,,12,0.75,4.08,,1080.0,0,0.0,0,0,9.0,0.634666667
,finishing,Monday,2,,3.9,,1200.0,0,0.0,0,0,10.0,0.92885
Quarter1,finishing,,6,0.75,2.9,,3360.0,0,0.0,0,0,8.0,0.309333333
Quarter2,sweing,Monday,10,,22.52,1127.0,120.0,88,0.0,0,0,56.0,0.9008
,sweing,Tuesday,11,0.7,25.31,946.0,,60,0.0,0,0,54.0,0.700513566
,finishing,Thursday,1,0.8,3.94,,,0,0.0,0,0,12.0,0.845458333
Quarter4,finishing ,Thursday,2,,3.94,,15000.0,0,0.0,0,0,25.0,0.649662222
,sweing,,4,,22.4,581.0,7350.0,0,0.0,0,0,51.5,0.35063299
,sweing,Tuesday,9,,29.12,,6960.0,50,0.0,0,0,58.0,0.700386207
,sweing,Tuesday,12,0.8,11.61,,5310.0,50,0.0,0,0,31.5,0.800140969
,finishing,Sunday,1,0.6,3.94,,3360.0,0,0.0,0,0,8.0,0.448722222
Quarter1,finishing,Tuesday,12,0.8,4.6,,,0,0.0,0,0,9.0,0.636049383
,sweing,Sunday,5,,26.82,,,23,0.0,0,1,59.0,0.500033898
Quarter2,sweing,Sunday,9,,26.16,1095.0,10620.0,88,0.0,0,0,59.0,0.900215716
Quarter2,sweing,Sunday,6,0.75,18.79,,3960.0,34,0.0,0,0,33.0,0.75065101
Quarter4,sweing,Wednesday,11,,20.1,1413.0,5880.0,46,0.0,0,0,54.0,0.500567308
